nct,agent,dose_mg,schedule,dose_wk,n,mean_pct,var_of_mean,timepoint
NCT04109547,placebo,0.0,placebo,0.0,106.0,-1.0,0.08490566037735849,"Baseline (Week 0), Week 26"
NCT04109547,semaglutide,7.0,daily,49.0,119.0,-3.0,0.13445378151260504,"Baseline (Week 0), Week 26"
NCT04109547,semaglutide,3.0,daily,21.0,115.0,-1.0,0.1391304347826087,"Baseline (Week 0), Week 26"
NCT04109547,semaglutide,14.0,daily,98.0,116.0,-4.0,0.21551724137931033,"Baseline (Week 0), Week 26"
NCT04153929,survodutide,0.3,weekly,0.3,41.0,-1.86,0.20653902439024394,At baseline and at Week 17 (16 weeks after treatment start ).
NCT04153929,placebo,0.0,placebo,0.0,49.0,-1.2,0.25286530612244895,At baseline and at Week 17 (16 weeks after treatment start ).
NCT04153929,survodutide,0.9,weekly,0.9,46.0,-4.43,0.3340521739130434,At baseline and at Week 17 (16 weeks after treatment start ).
NCT04153929,survodutide,2.7,weekly,2.7,33.0,-6.68,0.49704545454545457,At baseline and at Week 17 (16 weeks after treatment start ).
NCT04153929,survodutide,1.8,weekly,1.8,36.0,-6.63,0.731025,At baseline and at Week 17 (16 weeks after treatment start ).
NCT04184622,tirzepatide,10.0,weekly,10.0,260.0,-19.9,0.5184,"Baseline, Week 176"
NCT04184622,tirzepatide,15.0,weekly,15.0,249.0,-22.9,0.5328999999999999,"Baseline, Week 176"
NCT04184622,tirzepatide,5.0,weekly,5.0,245.0,-15.4,0.5476,"Baseline, Week 176"
NCT04184622,placebo,0.0,placebo,0.0,264.0,-2.1,0.6084,"Baseline, Week 176"
NCT04251156,semaglutide,2.4,weekly,2.4,238.0,-12.5,0.2300840336134454,"Baseline (week 0), week 44"
NCT04251156,placebo,0.0,placebo,0.0,116.0,-3.6,0.30008620689655174,"Baseline (week 0), week 44"
NCT04515849,placebo,0.0,placebo,0.0,35.0,-1.61,0.43560000000000004,Baseline to end of 14 weeks of dosing
NCT04657003,tirzepatide,10.0,weekly,10.0,309.0,-13.4,0.2304,"Baseline, Week 72"
NCT04657003,placebo,0.0,placebo,0.0,311.0,-3.3,0.24009999999999998,"Baseline, Week 72"
NCT04657003,tirzepatide,15.0,weekly,15.0,309.0,-15.7,0.24009999999999998,"Baseline, Week 72"
NCT04657016,placebo,0.0,placebo,0.0,291.0,3.3,0.36,"Baseline, 72 Weeks"
NCT04660643,placebo,0.0,placebo,0.0,329.0,14.8,0.28090000000000004,"Randomization (Week 36), Week 88"
NCT04667377,survodutide,2.4,weekly,2.4,78.0,-12.51,1.0201,"Baseline, Week 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 24, 28, 32, 36, 40, and 46."
NCT04667377,survodutide,4.8,weekly,4.8,76.0,-14.94,1.0201,"Baseline, Week 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 24, 28, 32, 36, 40, and 46."
NCT04667377,survodutide,3.6,weekly,3.6,76.0,-13.22,1.0816000000000001,"Baseline, Week 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 24, 28, 32, 36, 40, and 46."
NCT04667377,placebo,0.0,placebo,0.0,77.0,-2.82,1.1236000000000002,"Baseline, Week 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 24, 28, 32, 36, 40, and 46."
NCT04667377,survodutide,0.6,weekly,0.6,76.0,-6.19,1.1449,"Baseline, Week 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 24, 28, 32, 36, 40, and 46."
NCT04707313,placebo,0.0,placebo,0.0,71.0,0.17,6.4e-05,"Baseline, Week 26"
NCT04707313,danuglipron,40.0,daily,280.0,62.0,-5.43,8.099999999999999e-05,"Baseline, Week 26"
NCT04707313,danuglipron,80.0,daily,560.0,63.0,-4.83,8.099999999999999e-05,"Baseline, Week 26"
NCT04707313,danuglipron,120.0,daily,840.0,64.0,-8.94,8.099999999999999e-05,"Baseline, Week 26"
NCT04707313,danuglipron,160.0,daily,1120.0,63.0,-9.36,0.0001,"Baseline, Week 26"
NCT04707313,danuglipron,200.0,daily,1400.0,63.0,-8.96,0.00012099999999999999,"Baseline, Week 26"
NCT04707469,semaglutide,14.0,daily,98.0,495.0,-4.7,0.06335353535353534,"Baseline (week 0), week 68"
NCT04707469,semaglutide,25.0,daily,175.0,477.0,-7.2,0.10568134171907756,"Baseline (week 0), week 68"
NCT04707469,semaglutide,50.0,daily,350.0,495.0,-8.4,0.11977777777777779,"Baseline (week 0), week 68"
NCT04779697,placebo,0.0,placebo,0.0,43.0,-0.17,0.3739558139534883,Average Weight Change from baseline week 0 to end of treatment week 12 (Week 12 - week 0)
NCT04788511,placebo,0.0,placebo,0.0,242.0,-2.5,0.12958677685950412,From baseline (week 0) to end of treatment (week 52)
NCT04788511,semaglutide,2.4,weekly,2.4,246.0,-13.9,0.26670731707317075,From baseline (week 0) to end of treatment (week 52)
NCT04844918,tirzepatide,15.0,weekly,15.0,65.0,-22.7,0.81,"Baseline, 72 Weeks"
NCT04844918,placebo,0.0,placebo,0.0,66.0,-1.7,0.81,"Baseline, 72 Weeks"
NCT04844918,tirzepatide,10.0,weekly,10.0,59.0,-17.8,0.8835999999999999,"Baseline, 72 Weeks"
NCT04847557,placebo,0.0,placebo,0.0,333.0,-2.24,0.2116,"Baseline, Week 52"
NCT04881760,placebo,0.0,placebo,0.0,68.0,-2.11,0.5328999999999999,"Baseline, Week 48"
NCT04881760,retatrutide,1.0,weekly,1.0,69.0,-8.67,0.9025,"Baseline, Week 48"
NCT04881760,retatrutide,12.0,weekly,12.0,62.0,-24.22,1.5376,"Baseline, Week 48"
NCT04881760,retatrutide,8.0,weekly,8.0,35.0,-21.72,1.9880999999999998,"Baseline, Week 48"
NCT04881760,retatrutide,4.0,weekly,4.0,33.0,-17.83,2.3409,"Baseline, Week 48"
NCT04969939,semaglutide,2.4,weekly,2.4,44.0,-5.55,0.35820227272727273,"Part 2: Randomisation (week 32), end of treatment (week 48)"
NCT04982575,semaglutide,2.4,weekly,2.4,30.0,-5.0,0.5333333333333333,"Week 0, Week 32"
NCT04998136,placebo,0.0,placebo,0.0,48.0,-2.6,0.7008333333333333,"Baseline (week 0), end of treatment (week 44)"
NCT05024032,tirzepatide,10.0,weekly,10.0,70.0,-14.4,0.9603999999999999,"Baseline, Week 52"
NCT05024032,placebo,0.0,placebo,0.0,68.0,-2.4,1.0,"Baseline, Week 52"
NCT05024032,tirzepatide,15.0,weekly,15.0,68.0,-19.9,1.0201,"Baseline, Week 52"
NCT05035095,placebo,0.0,placebo,0.0,295.0,-2.2,0.17572881355932204,"Baseline (week 0), end-of-treatment (week 68)"
NCT05035095,semaglutide,50.0,daily,350.0,317.0,-15.8,0.3346687697160884,"Baseline (week 0), end-of-treatment (week 68)"
NCT05040971,placebo,0.0,placebo,0.0,66.0,-2.7,0.28015151515151515,From randomisation (week 0) to end of treatment (week 52)
NCT05040971,semaglutide,2.4,weekly,2.4,129.0,-14.4,0.48379844961240315,From randomisation (week 0) to end of treatment (week 52)
NCT05051579,orforglipron,45.0,daily,315.0,57.0,-14.7,0.8835999999999999,"Baseline, Week 36"
NCT05051579,orforglipron,36.0,daily,252.0,56.0,-13.5,0.9025,"Baseline, Week 36"
NCT05051579,placebo,0.0,placebo,0.0,48.0,-2.3,1.0,"Baseline, Week 36"
NCT05051579,orforglipron,24.0,daily,168.0,51.0,-12.5,1.0201,"Baseline, Week 36"
