nct_id,agent,hr,ci_lower_limit,ci_upper_limit,title
NCT03819153,semaglutide,0.76,0.66,0.88,Number of Participants From Time of Randomization to First Occurrence of Onset of Persistent ≥50% Reduction in eGFR(CKD-EPI); Onset of Persistent eGFR(CKD-EPI) <15mL/Min/1.73m^2; Initiation of Chronic Renal Replacement Therapy; Renal Death; CV Death
NCT01394952,dulaglutide,0.88,0.79,0.99,"Number of Participants Who Experienced an Event For Time, From Randomization to First Occurrence of Cardiovascular Death, Non-fatal Myocardial Infarction, or Non-fatal Stroke (a Composite Cardiovascular Outcome)"
NCT01394952,dulaglutide,0.91,0.78,1.06,"Number of Participants Who Experienced an Event for Time to First Occurrence After Randomization of Cardiovascular Death, Non-fatal Myocardial Infarction, or Non-fatal Stroke, Individually"
NCT01394952,dulaglutide,0.96,0.79,1.16,"Number of Participants Who Experienced an Event for Time to First Occurrence After Randomization of Cardiovascular Death, Non-fatal Myocardial Infarction, or Non-fatal Stroke, Individually"
NCT01394952,dulaglutide,0.76,0.61,0.95,"Number of Participants Who Experienced an Event for Time to First Occurrence After Randomization of Cardiovascular Death, Non-fatal Myocardial Infarction, or Non-fatal Stroke, Individually"
NCT01394952,dulaglutide,0.9,0.8,1.01,Number of Participants Who Experienced an Event for Time to All-cause Mortality
NCT01394952,dulaglutide,0.93,0.77,1.12,Number of Participants Who Experienced An Event for Time to First Occurrence After Randomization of Heart Failure Requiring Hospitalization or an Urgent Heart Failure Clinic Visit
NCT01394952,dulaglutide,1.14,0.84,1.54,Number of Participants Who Experienced an Event for Time to First Occurrence After Randomization of First Hospitalization for Unstable Angina
NCT03914326,semaglutide,0.86,0.77,0.96,"Number of Participants From Randomization to First Occurrence of a Major Adverse Cardiovascular Event (MACE), a Composite Endpoint Consisting of: Cardiovascular (CV) Death/Non-fatal Myocardial Infarction/Non-fatal Stroke"
NCT03993132,liraglutide,1.01,0.91,1.11,Incidence Rate of Expanded Major Adverse Cardiovascular Event (MACE) Composite Outcome - OT Analysis
NCT03993132,liraglutide,1.07,1.01,1.13,Incidence Rate of Expanded Major Adverse Cardiovascular Event (MACE) Composite Outcome - ITT Analysis
NCT03993132,liraglutide,0.95,0.84,1.08,Incidence Rate of Heart Failure (HF) Hospitalization or All-cause Death - OT Analysis
NCT03993132,liraglutide,1.03,0.96,1.11,Incidence Rate of Heart Failure (HF) Hospitalization or All-cause Death - ITT Analysis
NCT03993132,liraglutide,0.71,0.61,0.83,Incidence Rate of First Hospitalized Heart Failure (HHF) or Initiation of Community Prescription Drug Therapy With Loop Diuretics - OT Analysis
NCT03993132,liraglutide,0.83,0.76,0.91,Incidence Rate of First Hospitalized Heart Failure (HHF) or Initiation of Community Prescription Drug Therapy With Loop Diuretics - ITT Analysis
NCT03993132,liraglutide,0.92,0.88,0.96,Incidence Rate of All-cause Hospitalization or Death - OT Analysis
NCT03993132,liraglutide,0.94,0.91,0.96,Incidence Rate of All-cause Hospitalization or Death - ITT Analysis
NCT03993132,liraglutide,0.92,0.88,0.96,Incidence Rate of All Cause Hospitalization - OT Analysis
NCT03993132,liraglutide,0.93,0.91,0.96,Incidence Rate of All Cause Hospitalization - ITT Analysis
NCT03993132,liraglutide,0.99,0.83,1.18,Incidence Rate of All-cause Death - OT Analysis
NCT03993132,liraglutide,1.06,0.97,1.16,Incidence Rate of All-cause Death - ITT Analysis
NCT03993132,liraglutide,0.87,0.72,1.06,Incidence Rate of Hospitalization for Heart Failure (HF) - OT Analysis
NCT03993132,liraglutide,0.98,0.88,1.1,Incidence Rate of Hospitalization for Heart Failure (HF) - ITT Analysis
